width,wire,our_render,mjl_render,our_cost,mjl_cost
40,"(alt (cost 2 2 (t """")) (cost 2 2 (align (brk))))","","",(2 2),(2 2)
80,"(nest 0 (cat (alt (t ""z"") (t ""z"")) (nest 0 (nl))))","z\n","z\n",(0 1),(0 1)
120,"(cost 3 1 (cost 0 1 (t ""cwv"")))","cwv","cwv",(3 2),(3 2)
40,"(alt (t ""gky "") (align (cat (t ""gky"") (nl))))","gky ","gky ",(0 0),(0 0)
80,"(alt (cat (alt (t "" "") (t "" "")) (t ""  "")) (cat (alt (t "" "") (nl)) (cat (nl) (nest 2 (nl)))))","   ","   ",(0 0),(0 0)
120,"(alt (t ""b"") (alt (t ""cwv"") (cat (t ""wl"") (cat (nl) (brk)))))","b","b",(0 0),(0 0)
40,"(alt (cat (alt (t ""zik"") (t ""ry"")) (cat (nl) (t ""t""))) (align (hnl)))","\n","\n",(0 1),(0 1)
80,"(nest 0 (alt (t ""fjy"") (t ""j"")))","j","j",(0 0),(0 0)
120,"(cost 2 1 (reset (cat (nl) (t ""mfr""))))","\nmfr","\nmfr",(2 2),(2 2)
40,"(alt (t "" "") (align (nl)))"," "," ",(0 0),(0 0)
80,"(t ""wkp"")","wkp","wkp",(0 0),(0 0)
120,"(nl)","\n","\n",(0 1),(0 1)
40,"(alt (cat (cat (t ""xg"") (nl)) (alt (t "" "") (nl))) (cost 0 1 (cat (hnl) (nl))))","xg\n ","xg\n ",(0 1),(0 1)
80,"(alt (hnl) (hnl))","\n","\n",(0 1),(0 1)
120,"(reset (alt (t ""wry"") (reset (hnl))))","wry","wry",(0 0),(0 0)
40,"(alt (align (alt (t ""wy"") (nl))) (align (cat (t ""lb"") (nl))))","wy","wy",(0 0),(0 0)
80,"(fail)","<<FAIL>>","<<FAIL>>",failed,failed
120,"(fail)","<<FAIL>>","<<FAIL>>",failed,failed
40,"(cost 3 0 (cat (cat (brk) (align (brk))) (cat (nl) (nl))))","\n\n\n\n","\n\n\n\n",(3 4),(3 4)
80,"(hnl)","\n","\n",(0 1),(0 1)
120,"(cat (align (brk)) (t ""j""))","\nj","\nj",(0 1),(0 1)
40,"(brk)","\n","\n",(0 1),(0 1)
80,"(t ""haa"")","haa","haa",(0 0),(0 0)
120,"(fail)","<<FAIL>>","<<FAIL>>",failed,failed
40,"(alt (t "" "") (nl))"," "," ",(0 0),(0 0)
80,"(cat (reset (alt (t ""qi"") (nl))) (t ""r""))","qir","qir",(0 0),(0 0)
120,"(alt (t "" "") (nl))"," "," ",(0 0),(0 0)
40,"(cost 0 0 (cost 2 1 (cost 2 1 (cat (cat (nl) (t ""koq"")) (hnl)))))","\nkoq\n","\nkoq\n",(4 4),(4 4)
80,"(align (hnl))","\n","\n",(0 1),(0 1)
120,"(fail)","<<FAIL>>","<<FAIL>>",failed,failed
40,"(fail)","<<FAIL>>","<<FAIL>>",failed,failed
80,"(reset (alt (alt (t ""j"") (t ""j"")) (alt (t ""j"") (t ""j""))))","j","j",(0 0),(0 0)
120,"(cost 0 2 (brk))","\n","\n",(0 3),(0 3)
40,"(hnl)","\n","\n",(0 1),(0 1)
80,"(cost 0 0 (alt (cost 1 1 (nl)) (alt (nl) (t ""e""))))","e","e",(0 0),(0 0)
120,"(alt (alt (t """") (t """")) (alt (t """") (brk)))","","",(0 0),(0 0)
